Strain,Antibiotic,Miller units
ADA110 , H2O,77.35921584
ADA110 , EtOH,67.8247012
ADA110 , Sm,228.9855072
ADA110 , Cm,111.7768329
ADA110 , Carb,73.31712272
ADA110 , Nal,91.23522121
ADA110 , Amp,72.63023963
ADA110 , Pmx,80.94299438
ADA110 , H2O,90.34076109
ADA110 , EtOH,79.95988076
ADA110 , Sm,282.6911851
ADA110 , Cm,99.30427934
ADA110 , Carb,72.99934938
ADA110 , Nal,73.24101975
ADA110 , Amp,77.9913799
ADA110 , Pmx,80.16255806
ADA110 , H2O,101.0958481
ADA110 , EtOH,116.9761847
ADA110 , Sm,203.0456853
ADA110 , Cm,95.29177719
ADA110 , Carb,97.93351303
ADA110 , Nal,102.2107994
ADA110 , Amp,88.20699241
ADA110 , Pmx,90.40880503
ADA310 , H2O,126.3321924
ADA310 , EtOH,88.55400365
ADA310 , Sm,93.42981557
ADA310 , Cm,1196.825397
ADA310 , Carb,79.64401823
ADA310 , Nal,73.12783486
ADA310 , Amp,69.64277071
ADA310 , Pmx,83.8480343
ADA310 , H2O,85.69082433
ADA310 , EtOH,70.05052825
ADA310 , Sm,116.6675333
ADA310 , Cm,956.1101549
ADA310 , Carb,62.13099864
ADA310 , Nal,77.23519141
ADA310 , Amp,110.9872649
ADA310 , Pmx,85.77257306
ADA310 , H2O,74.56558593
ADA310 , EtOH,77.99220732
ADA310 , Sm,91.67086694
ADA310 , Cm,1251.718213
ADA310 , Carb,83.01240907
ADA310 , Nal,81.28800911
ADA310 , Amp,74.98762675
ADA310 , Pmx,103.0552651
ADA410 , H2O,84.07979337
ADA410 , EtOH,104.5807792
ADA410 , Sm,109.4357977
ADA410 , Cm,109.7249645
ADA410 , Carb,206.1534351
ADA410 , Nal,89.64525407
ADA410 , Amp,144.0056542
ADA410 , Pmx,253.5042735
ADA410 , H2O,80.10209623
ADA410 , EtOH,116.2453378
ADA410 , Sm,82.97936024
ADA410 , Cm,85.36554127
ADA410 , Carb,203.5195818
ADA410 , Nal,103.5963166
ADA410 , Amp,161.7585145
ADA410 , Pmx,293.812709
ADA410 , H2O,96.51091897
ADA410 , EtOH,98.85241807
ADA410 , Sm,118.1033623
ADA410 , Cm,101.2280119
ADA410 , Carb,191.4596341
ADA410 , Nal,67.34862819
ADA410 , Amp,194.5948447
ADA410 , Pmx,249.5948136
ADA510 , H2O,90.58156829
ADA510 , EtOH,69.16221034
ADA510 , Sm,98.31569188
ADA510 , Cm,111.7050439
ADA510 , Carb,104.7088284
ADA510 , Nal,351.8202503
ADA510 , Amp,101.0507817
ADA510 , Pmx,76.34644216
ADA510 , H2O,78.11250333
ADA510 , EtOH,87.45031232
ADA510 , Sm,111.7614708
ADA510 , Cm,87.98926768
ADA510 , Carb,90.58520315
ADA510 , Nal,389.0719385
ADA510 , Amp,78.64303981
ADA510 , Pmx,83.32372275
ADA510 , H2O,90.74209182
ADA510 , EtOH,114.4403247
ADA510 , Sm,100.422833
ADA510 , Cm,109.2562432
ADA510 , Carb,100.0618694
ADA510 , Nal,463.592233
ADA510 , Amp,72.89320849
ADA510 , Pmx,81.21284185
